Entity,Year,Disasters
All Disasters,1900,6
All Disasters,1901,1
All Disasters,1902,10
All Disasters,1903,12
All Disasters,1904,4
All Disasters,1905,7
All Disasters,1906,13
All Disasters,1907,4
All Disasters,1908,3
All Disasters,1909,15
All Disasters,1910,16
All Disasters,1911,19
All Disasters,1912,15
All Disasters,1913,14
All Disasters,1914,17
All Disasters,1915,7
All Disasters,1916,3
All Disasters,1917,7
All Disasters,1918,5
All Disasters,1919,4
All Disasters,1920,10
All Disasters,1921,2
All Disasters,1922,8
All Disasters,1923,14
All Disasters,1924,8
All Disasters,1925,12
All Disasters,1926,14
All Disasters,1927,10
All Disasters,1928,17
All Disasters,1929,5
All Disasters,1930,21
All Disasters,1931,14
All Disasters,1932,13
All Disasters,1933,12
All Disasters,1934,10
All Disasters,1935,17
All Disasters,1936,22
All Disasters,1937,12
All Disasters,1938,8
All Disasters,1939,13
All Disasters,1940,21
All Disasters,1941,22
All Disasters,1942,21
All Disasters,1943,25
All Disasters,1944,23
All Disasters,1945,16
All Disasters,1946,17
All Disasters,1947,13
All Disasters,1948,25
All Disasters,1949,21
All Disasters,1950,26
All Disasters,1951,31
All Disasters,1952,29
All Disasters,1953,36
All Disasters,1954,33
All Disasters,1955,32
All Disasters,1956,36
All Disasters,1957,28
All Disasters,1958,24
All Disasters,1959,33
All Disasters,1960,40
All Disasters,1961,30
All Disasters,1962,29
All Disasters,1963,41
All Disasters,1964,61
All Disasters,1965,62
All Disasters,1966,82
All Disasters,1967,77
All Disasters,1968,80
All Disasters,1969,66
All Disasters,1970,83
All Disasters,1971,67
All Disasters,1972,69
All Disasters,1973,76
All Disasters,1974,75
All Disasters,1975,70
All Disasters,1976,88
All Disasters,1977,120
All Disasters,1978,115
All Disasters,1979,116
All Disasters,1980,124
All Disasters,1981,139
All Disasters,1982,164
All Disasters,1983,223
All Disasters,1984,164
All Disasters,1985,173
All Disasters,1986,147
All Disasters,1987,183
All Disasters,1988,199
All Disasters,1989,172
All Disasters,1990,278
All Disasters,1991,236
All Disasters,1992,220
All Disasters,1993,268
All Disasters,1994,252
All Disasters,1995,254
All Disasters,1996,231
All Disasters,1997,263
All Disasters,1998,300
All Disasters,1999,343
All Disasters,2000,424
All Disasters,2001,395
All Disasters,2002,438
All Disasters,2003,373
All Disasters,2004,368
All Disasters,2005,435
All Disasters,2006,430
All Disasters,2007,415
All Disasters,2008,367
All Disasters,2009,368
All Disasters,2010,415
All Disasters,2011,351
All Disasters,2012,364
All Disasters,2013,340
All Disasters,2014,329
All Disasters,2015,404
All Disasters,2016,349
All Disasters,2017,364
All Disasters,2018,323
All Disasters,2019,413
All Disasters,2020,407
All Disasters,2021,441
All Disasters,2022,440
All Disasters,2023,410
All Disasters,2024,83
All Disasters excluding earthquakes,1900,5
All Disasters excluding earthquakes,1902,6
All Disasters excluding earthquakes,1903,7
All Disasters excluding earthquakes,1904,1
All Disasters excluding earthquakes,1905,2
All Disasters excluding earthquakes,1906,7
All Disasters excluding earthquakes,1907,1
All Disasters excluding earthquakes,1908,1
All Disasters excluding earthquakes,1909,7
All Disasters excluding earthquakes,1910,12
All Disasters excluding earthquakes,1911,14
All Disasters excluding earthquakes,1912,14
All Disasters excluding earthquakes,1913,10
All Disasters excluding earthquakes,1914,11
All Disasters excluding earthquakes,1915,4
All Disasters excluding earthquakes,1916,1
All Disasters excluding earthquakes,1917,3
All Disasters excluding earthquakes,1918,2
All Disasters excluding earthquakes,1919,4
All Disasters excluding earthquakes,1920,5
All Disasters excluding earthquakes,1921,2
All Disasters excluding earthquakes,1922,5
All Disasters excluding earthquakes,1923,8
All Disasters excluding earthquakes,1924,2
All Disasters excluding earthquakes,1925,4
All Disasters excluding earthquakes,1926,13
All Disasters excluding earthquakes,1927,6
All Disasters excluding earthquakes,1928,10
All Disasters excluding earthquakes,1929,3
All Disasters excluding earthquakes,1930,6
All Disasters excluding earthquakes,1931,8
All Disasters excluding earthquakes,1932,7
All Disasters excluding earthquakes,1933,7
All Disasters excluding earthquakes,1934,7
All Disasters excluding earthquakes,1935,10
All Disasters excluding earthquakes,1936,11
All Disasters excluding earthquakes,1937,9
All Disasters excluding earthquakes,1938,6
All Disasters excluding earthquakes,1939,6
All Disasters excluding earthquakes,1940,14
All Disasters excluding earthquakes,1941,14
All Disasters excluding earthquakes,1942,13
All Disasters excluding earthquakes,1943,16
All Disasters excluding earthquakes,1944,17
All Disasters excluding earthquakes,1945,8
All Disasters excluding earthquakes,1946,7
All Disasters excluding earthquakes,1947,10
All Disasters excluding earthquakes,1948,18
All Disasters excluding earthquakes,1949,14
All Disasters excluding earthquakes,1950,19
All Disasters excluding earthquakes,1951,24
All Disasters excluding earthquakes,1952,16
All Disasters excluding earthquakes,1953,27
All Disasters excluding earthquakes,1954,28
All Disasters excluding earthquakes,1955,26
All Disasters excluding earthquakes,1956,30
All Disasters excluding earthquakes,1957,21
All Disasters excluding earthquakes,1958,19
All Disasters excluding earthquakes,1959,30
All Disasters excluding earthquakes,1960,32
All Disasters excluding earthquakes,1961,27
All Disasters excluding earthquakes,1962,25
All Disasters excluding earthquakes,1963,38
All Disasters excluding earthquakes,1964,54
All Disasters excluding earthquakes,1965,54
All Disasters excluding earthquakes,1966,69
All Disasters excluding earthquakes,1967,62
All Disasters excluding earthquakes,1968,64
All Disasters excluding earthquakes,1969,55
All Disasters excluding earthquakes,1970,71
All Disasters excluding earthquakes,1971,61
All Disasters excluding earthquakes,1972,62
All Disasters excluding earthquakes,1973,68
All Disasters excluding earthquakes,1974,69
All Disasters excluding earthquakes,1975,65
All Disasters excluding earthquakes,1976,67
All Disasters excluding earthquakes,1977,106
All Disasters excluding earthquakes,1978,106
All Disasters excluding earthquakes,1979,94
All Disasters excluding earthquakes,1980,107
All Disasters excluding earthquakes,1981,124
All Disasters excluding earthquakes,1982,149
All Disasters excluding earthquakes,1983,197
All Disasters excluding earthquakes,1984,151
All Disasters excluding earthquakes,1985,156
All Disasters excluding earthquakes,1986,126
All Disasters excluding earthquakes,1987,168
All Disasters excluding earthquakes,1988,184
All Disasters excluding earthquakes,1989,153
All Disasters excluding earthquakes,1990,237
All Disasters excluding earthquakes,1991,207
All Disasters excluding earthquakes,1992,195
All Disasters excluding earthquakes,1993,248
All Disasters excluding earthquakes,1994,227
All Disasters excluding earthquakes,1995,228
All Disasters excluding earthquakes,1996,218
All Disasters excluding earthquakes,1997,240
All Disasters excluding earthquakes,1998,270
All Disasters excluding earthquakes,1999,310
All Disasters excluding earthquakes,2000,394
All Disasters excluding earthquakes,2001,370
All Disasters excluding earthquakes,2002,401
All Disasters excluding earthquakes,2003,333
All Disasters excluding earthquakes,2004,326
All Disasters excluding earthquakes,2005,410
All Disasters excluding earthquakes,2006,406
All Disasters excluding earthquakes,2007,394
All Disasters excluding earthquakes,2008,344
All Disasters excluding earthquakes,2009,346
All Disasters excluding earthquakes,2010,391
All Disasters excluding earthquakes,2011,321
All Disasters excluding earthquakes,2012,337
All Disasters excluding earthquakes,2013,311
All Disasters excluding earthquakes,2014,303
All Disasters excluding earthquakes,2015,381
All Disasters excluding earthquakes,2016,319
All Disasters excluding earthquakes,2017,342
All Disasters excluding earthquakes,2018,303
All Disasters excluding earthquakes,2019,382
All Disasters excluding earthquakes,2020,391
All Disasters excluding earthquakes,2021,413
All Disasters excluding earthquakes,2022,409
All Disasters excluding earthquakes,2023,378
All Disasters excluding earthquakes,2024,77
All Disasters excluding Extreme Temperature,1900,6
All Disasters excluding Extreme Temperature,1901,1
All Disasters excluding Extreme Temperature,1902,10
All Disasters excluding Extreme Temperature,1903,12
All Disasters excluding Extreme Temperature,1904,4
All Disasters excluding Extreme Temperature,1905,7
All Disasters excluding Extreme Temperature,1906,13
All Disasters excluding Extreme Temperature,1907,4
All Disasters excluding Extreme Temperature,1908,3
All Disasters excluding Extreme Temperature,1909,15
All Disasters excluding Extreme Temperature,1910,16
